AREACD,AREANM,Proportion aged 65+ in 2022,Change in age 65+ 2014-2024
E06000001,Hartlepool,20.89156811,20.83552055
E06000002,Middlesbrough,17.95287251,18.66745072
E06000003,Redcar and Cleveland,24.0724046,17.34508714
E06000004,Stockton..on..Tees,19.60100732,25.6591001
E06000005,Darlington,21.93941111,20.61037989
E06000006,Halton,20.34700874,31.56876449
E06000007,Warrington,19.57886095,24.66547904
E06000008,Blackburn with Darwen,16.12738204,20.4190936
E06000009,Blackpool,21.60238328,8.361877072
E06000010,"Kingston upon Hull, City of",16.57174285,16.76255781
E06000011,East Riding of Yorkshire,27.12845705,24.84074601
E06000012,North East Lincolnshire,21.73888184,17.71335645
E06000013,North Lincolnshire,22.81891996,26.21510466
E06000014,York,19.68367437,18.941169
E06000015,Derby,16.92624369,15.31587207
E06000016,Leicester,13.5999501,23.37836365
E06000017,Rutland,27.88108747,28.46847162
E06000018,Nottingham,12.8782535,13.53200453
E06000019,"Herefordshire, County of",26.53025539,25.53322201
E06000020,Telford and Wrekin,19.35284491,30.89102772
E06000021,Stoke..on..Trent,18.33078185,15.78767983
E06000022,Bath and North East Somerset,21.35667131,18.37769549
E06000023,"Bristol, City of",13.97331648,14.20795544
E06000024,North Somerset,25.36797441,26.38483793
E06000025,South Gloucestershire,20.15613011,23.59500093
E06000026,Plymouth,19.46428259,17.91203812
E06000027,Torbay,28.40266353,18.95608641
E06000028,Bournemouth,19.30755707,16.21618877
E06000029,Poole,23.79860147,20.10932527
E06000030,Swindon,17.21870133,32.95149098
E06000031,Peterborough,15.78041014,24.23890379
E06000032,Luton,12.74381829,18.13825925
E06000033,Southend..on..Sea,20.5443921,19.41521011
E06000034,Thurrock,15.25145577,25.88465838
E06000035,Medway,17.19279622,27.1599123
E06000036,Bracknell Forest,16.02108796,34.13698994
E06000037,West Berkshire,20.40703385,32.15982782
E06000038,Reading,13.56164364,19.54825085
E06000039,Slough,10.67231767,28.18217879
E06000040,Windsor and Maidenhead,19.71974266,22.45539326
E06000041,Wokingham,19.45703571,30.66423991
E06000042,Milton Keynes,15.56170854,49.60334553
E06000043,Brighton and Hove,14.27715584,13.69961324
E06000044,Portsmouth,15.20319784,16.21947667
E06000045,Southampton,14.64551313,15.98876671
E06000046,Isle of Wight,29.20540592,20.99758037
E06000047,County Durham,22.42983301,22.73740535
E06000049,Cheshire East,24.60222033,25.25992601
E06000050,Cheshire West and Chester,23.4934278,22.91959333
E06000051,Shropshire,26.45426008,26.64167001
E06000052,Cornwall,26.13096997,23.90840137
E06000053,Isles of Scilly,28.28529545,6.625876135
E06000054,Wiltshire,23.48999658,29.83029759
E06000055,Bedford,18.97593555,26.80484411
E06000056,Central Bedfordshire,19.63114524,33.81760177
E06000057,Northumberland,26.62827118,27.10722343
E07000004,Aylesbury Vale,19.50354584,37.23996221
E07000005,Chiltern,23.59328093,18.5270419
E07000006,South Bucks,23.1977901,24.99719473
E07000007,Wycombe,19.39988726,23.41484943
E07000008,Cambridge,14.3267064,19.67520746
E07000009,East Cambridgeshire,20.66137659,31.83798894
E07000010,Fenland,24.74979985,25.08601759
E07000011,Huntingdonshire,21.8035133,35.00243264
E07000012,South Cambridgeshire,20.66662027,31.62404615
E07000026,Allerdale,26.51687443,20.84944343
E07000027,Barrow..in..Furness,23.5128811,16.05983031
E07000028,Carlisle,23.29344972,20.71181079
E07000029,Copeland,24.74639121,21.64647745
E07000030,Eden,28.7459043,24.96054184
E07000031,South Lakeland,30.57233581,19.32791864
E07000032,Amber Valley,24.15760191,27.78626444
E07000033,Bolsover,21.88765078,20.17210313
E07000034,Chesterfield,22.80625564,19.74887481
E07000035,Derbyshire Dales,29.2617555,28.38189595
E07000036,Erewash,21.83217589,22.15729672
E07000037,High Peak,22.77399147,29.5929157
E07000038,North East Derbyshire,26.2977786,22.30623732
E07000039,South Derbyshire,20.14109089,35.29721199
E07000040,East Devon,32.59156582,18.52516762
E07000041,Exeter,17.8616481,16.16521352
E07000042,Mid Devon,25.51497761,26.54641995
E07000043,North Devon,27.02342635,20.08978591
E07000044,South Hams,30.15501737,23.38275313
E07000045,Teignbridge,28.56704255,22.33015437
E07000046,Torridge,28.73803285,27.08903763
E07000047,West Devon,29.21646537,30.52218673
